ont_id,cola_tamano_total_bytes
0,99999984.0
1,99997320.0
2,99978790.0
3,99999902.0
4,99965386.0
5,99946060.0
6,99908732.0
7,98978430.0
8,99892138.0
9,99980636.0
10,99982212.0
11,99752868.0
12,99948566.0
13,99975822.0
14,99967180.0
15,99965120.0
16,99965980.0
17,99949316.0
18,99963088.0
19,99941414.0
20,99959506.0
21,98445128.0
22,99148592.0
23,99951898.0
24,99947408.0
25,99918948.0
26,99930478.0
27,99929346.0
28,99856106.0
29,99921242.0
30,99360990.0
31,99902656.0
32,99905864.0
33,99910876.0
34,99905014.0
35,99897912.0
36,99900202.0
37,99897954.0
38,99884036.0
39,99894410.0
40,99887630.0
41,99877616.0
42,99880396.0
43,99848514.0
44,99802056.0
45,99864930.0
46,99863684.0
47,99867158.0
48,99629016.0
49,99857394.0
50,99541890.0
51,99846984.0
52,99846078.0
53,99462208.0
54,99842172.0
55,96101854.0
56,99999958.0
57,99999930.0
58,99999970.0
59,99999968.0
60,99999984.0
61,99999968.0
62,99999992.0
63,99999984.0
media,99789794.4375
